Id,Province/State,Country/Region,Lat,Long,
1,,Afghanistan,33,65,
2,,Afghanistan,33,65,
3,,Afghanistan,33,65,
4,,Afghanistan,33,65,
5,,Afghanistan,33,65,
6,,Afghanistan,33,65,
7,,Afghanistan,33,65,
8,,Afghanistan,33,65,
9,,Afghanistan,33,65,
10,,Afghanistan,33,65,
11,,Afghanistan,33,65,
12,,Afghanistan,33,65,
13,,Afghanistan,33,65,
14,,Afghanistan,33,65,
15,,Afghanistan,33,65,
16,,Afghanistan,33,65,
17,,Afghanistan,33,65,
18,,Afghanistan,33,65,
19,,Afghanistan,33,65,
20,,Afghanistan,33,65,
21,,Afghanistan,33,65,
22,,Afghanistan,33,65,
23,,Afghanistan,33,65,
24,,Afghanistan,33,65,
25,,Afghanistan,33,65,
26,,Afghanistan,33,65,
27,,Afghanistan,33,65,
28,,Afghanistan,33,65,
29,,Afghanistan,33,65,
30,,Afghanistan,33,65,
31,,Afghanistan,33,65,
32,,Afghanistan,33,65,
33,,Afghanistan,33,65,
34,,Afghanistan,33,65,
35,,Afghanistan,33,65,
36,,Afghanistan,33,65,
37,,Afghanistan,33,65,
38,,Afghanistan,33,65,
39,,Afghanistan,33,65,
40,,Afghanistan,33,65,
41,,Afghanistan,33,65,
42,,Afghanistan,33,65,
43,,Afghanistan,33,65,
44,,Afghanistan,33,65,
45,,Afghanistan,33,65,
46,,Afghanistan,33,65,
47,,Afghanistan,33,65,
48,,Afghanistan,33,65,
49,,Afghanistan,33,65,
50,,Afghanistan,33,65,
51,,Afghanistan,33,65,
52,,Afghanistan,33,65,
53,,Afghanistan,33,65,
54,,Afghanistan,33,65,
55,,Afghanistan,33,65,
56,,Afghanistan,33,65,
57,,Afghanistan,33,65,
58,,Afghanistan,33,65,
59,,Afghanistan,33,65,
60,,Afghanistan,33,65,
61,,Afghanistan,33,65,
62,,Afghanistan,33,65,
63,,Afghanistan,33,65,
94,,Albania,41.1533,20.1683,
95,,Albania,41.1533,20.1683,
96,,Albania,41.1533,20.1683,
97,,Albania,41.1533,20.1683,
98,,Albania,41.1533,20.1683,
99,,Albania,41.1533,20.1683,
100,,Albania,41.1533,20.1683,
101,,Albania,41.1533,20.1683,
102,,Albania,41.1533,20.1683,
103,,Albania,41.1533,20.1683,
104,,Albania,41.1533,20.1683,
105,,Albania,41.1533,20.1683,
106,,Albania,41.1533,20.1683,
107,,Albania,41.1533,20.1683,
108,,Albania,41.1533,20.1683,
109,,Albania,41.1533,20.1683,
110,,Albania,41.1533,20.1683,
111,,Albania,41.1533,20.1683,
112,,Albania,41.1533,20.1683,
113,,Albania,41.1533,20.1683,
114,,Albania,41.1533,20.1683,
115,,Albania,41.1533,20.1683,
116,,Albania,41.1533,20.1683,
117,,Albania,41.1533,20.1683,
118,,Albania,41.1533,20.1683,
119,,Albania,41.1533,20.1683,
120,,Albania,41.1533,20.1683,
121,,Albania,41.1533,20.1683,
122,,Albania,41.1533,20.1683,
123,,Albania,41.1533,20.1683,
124,,Albania,41.1533,20.1683,
125,,Albania,41.1533,20.1683,
126,,Albania,41.1533,20.1683,
127,,Albania,41.1533,20.1683,
128,,Albania,41.1533,20.1683,
129,,Albania,41.1533,20.1683,
130,,Albania,41.1533,20.1683,
131,,Albania,41.1533,20.1683,
132,,Albania,41.1533,20.1683,
133,,Albania,41.1533,20.1683,
134,,Albania,41.1533,20.1683,
135,,Albania,41.1533,20.1683,
136,,Albania,41.1533,20.1683,
137,,Albania,41.1533,20.1683,
138,,Albania,41.1533,20.1683,
139,,Albania,41.1533,20.1683,
140,,Albania,41.1533,20.1683,
141,,Albania,41.1533,20.1683,
142,,Albania,41.1533,20.1683,
143,,Albania,41.1533,20.1683,
144,,Albania,41.1533,20.1683,
145,,Albania,41.1533,20.1683,
146,,Albania,41.1533,20.1683,
147,,Albania,41.1533,20.1683,
148,,Albania,41.1533,20.1683,
149,,Albania,41.1533,20.1683,
150,,Albania,41.1533,20.1683,
151,,Albania,41.1533,20.1683,
152,,Albania,41.1533,20.1683,
153,,Albania,41.1533,20.1683,
154,,Albania,41.1533,20.1683,
155,,Albania,41.1533,20.1683,
156,,Albania,41.1533,20.1683,
187,,Algeria,28.0339,1.6596,
188,,Algeria,28.0339,1.6596,
189,,Algeria,28.0339,1.6596,
190,,Algeria,28.0339,1.6596,
191,,Algeria,28.0339,1.6596,
192,,Algeria,28.0339,1.6596,
193,,Algeria,28.0339,1.6596,
194,,Algeria,28.0339,1.6596,
195,,Algeria,28.0339,1.6596,
196,,Algeria,28.0339,1.6596,
197,,Algeria,28.0339,1.6596,
198,,Algeria,28.0339,1.6596,
199,,Algeria,28.0339,1.6596,
200,,Algeria,28.0339,1.6596,
201,,Algeria,28.0339,1.6596,
202,,Algeria,28.0339,1.6596,
203,,Algeria,28.0339,1.6596,
204,,Algeria,28.0339,1.6596,
205,,Algeria,28.0339,1.6596,
206,,Algeria,28.0339,1.6596,
207,,Algeria,28.0339,1.6596,
208,,Algeria,28.0339,1.6596,
209,,Algeria,28.0339,1.6596,
210,,Algeria,28.0339,1.6596,
211,,Algeria,28.0339,1.6596,
212,,Algeria,28.0339,1.6596,
213,,Algeria,28.0339,1.6596,
214,,Algeria,28.0339,1.6596,
215,,Algeria,28.0339,1.6596,
216,,Algeria,28.0339,1.6596,
217,,Algeria,28.0339,1.6596,
218,,Algeria,28.0339,1.6596,
219,,Algeria,28.0339,1.6596,
220,,Algeria,28.0339,1.6596,
221,,Algeria,28.0339,1.6596,
222,,Algeria,28.0339,1.6596,
223,,Algeria,28.0339,1.6596,
224,,Algeria,28.0339,1.6596,
225,,Algeria,28.0339,1.6596,
226,,Algeria,28.0339,1.6596,
227,,Algeria,28.0339,1.6596,
228,,Algeria,28.0339,1.6596,
229,,Algeria,28.0339,1.6596,
230,,Algeria,28.0339,1.6596,
231,,Algeria,28.0339,1.6596,
232,,Algeria,28.0339,1.6596,
233,,Algeria,28.0339,1.6596,
234,,Algeria,28.0339,1.6596,
235,,Algeria,28.0339,1.6596,
236,,Algeria,28.0339,1.6596,
237,,Algeria,28.0339,1.6596,
238,,Algeria,28.0339,1.6596,
239,,Algeria,28.0339,1.6596,
240,,Algeria,28.0339,1.6596,
241,,Algeria,28.0339,1.6596,
242,,Algeria,28.0339,1.6596,
243,,Algeria,28.0339,1.6596,
244,,Algeria,28.0339,1.6596,
245,,Algeria,28.0339,1.6596,
246,,Algeria,28.0339,1.6596,
247,,Algeria,28.0339,1.6596,
248,,Algeria,28.0339,1.6596,
249,,Algeria,28.0339,1.6596,
280,,Andorra,42.5063,1.5218,
281,,Andorra,42.5063,1.5218,
282,,Andorra,42.5063,1.5218,
283,,Andorra,42.5063,1.5218,
284,,Andorra,42.5063,1.5218,
285,,Andorra,42.5063,1.5218,
286,,Andorra,42.5063,1.5218,
287,,Andorra,42.5063,1.5218,
288,,Andorra,42.5063,1.5218,
289,,Andorra,42.5063,1.5218,
290,,Andorra,42.5063,1.5218,
291,,Andorra,42.5063,1.5218,
292,,Andorra,42.5063,1.5218,
293,,Andorra,42.5063,1.5218,
294,,Andorra,42.5063,1.5218,
295,,Andorra,42.5063,1.5218,
296,,Andorra,42.5063,1.5218,
297,,Andorra,42.5063,1.5218,
298,,Andorra,42.5063,1.5218,
299,,Andorra,42.5063,1.5218,
300,,Andorra,42.5063,1.5218,
301,,Andorra,42.5063,1.5218,
302,,Andorra,42.5063,1.5218,
303,,Andorra,42.5063,1.5218,
304,,Andorra,42.5063,1.5218,
305,,Andorra,42.5063,1.5218,
306,,Andorra,42.5063,1.5218,
307,,Andorra,42.5063,1.5218,
308,,Andorra,42.5063,1.5218,
309,,Andorra,42.5063,1.5218,
310,,Andorra,42.5063,1.5218,
311,,Andorra,42.5063,1.5218,
312,,Andorra,42.5063,1.5218,
313,,Andorra,42.5063,1.5218,
314,,Andorra,42.5063,1.5218,
315,,Andorra,42.5063,1.5218,
316,,Andorra,42.5063,1.5218,
317,,Andorra,42.5063,1.5218,
318,,Andorra,42.5063,1.5218,
319,,Andorra,42.5063,1.5218,
320,,Andorra,42.5063,1.5218,
321,,Andorra,42.5063,1.5218,
322,,Andorra,42.5063,1.5218,
323,,Andorra,42.5063,1.5218,
324,,Andorra,42.5063,1.5218,
325,,Andorra,42.5063,1.5218,
326,,Andorra,42.5063,1.5218,
327,,Andorra,42.5063,1.5218,
328,,Andorra,42.5063,1.5218,
329,,Andorra,42.5063,1.5218,
330,,Andorra,42.5063,1.5218,
331,,Andorra,42.5063,1.5218,
332,,Andorra,42.5063,1.5218,
333,,Andorra,42.5063,1.5218,
334,,Andorra,42.5063,1.5218,
335,,Andorra,42.5063,1.5218,
336,,Andorra,42.5063,1.5218,
337,,Andorra,42.5063,1.5218,
338,,Andorra,42.5063,1.5218,
339,,Andorra,42.5063,1.5218,
340,,Andorra,42.5063,1.5218,
341,,Andorra,42.5063,1.5218,
342,,Andorra,42.5063,1.5218,
373,,Antigua and Barbuda,17.0608,-61.7964,
374,,Antigua and Barbuda,17.0608,-61.7964,
375,,Antigua and Barbuda,17.0608,-61.7964,
376,,Antigua and Barbuda,17.0608,-61.7964,
377,,Antigua and Barbuda,17.0608,-61.7964,
378,,Antigua and Barbuda,17.0608,-61.7964,
379,,Antigua and Barbuda,17.0608,-61.7964,
380,,Antigua and Barbuda,17.0608,-61.7964,
381,,Antigua and Barbuda,17.0608,-61.7964,
382,,Antigua and Barbuda,17.0608,-61.7964,
383,,Antigua and Barbuda,17.0608,-61.7964,
384,,Antigua and Barbuda,17.0608,-61.7964,
385,,Antigua and Barbuda,17.0608,-61.7964,
386,,Antigua and Barbuda,17.0608,-61.7964,
387,,Antigua and Barbuda,17.0608,-61.7964,
388,,Antigua and Barbuda,17.0608,-61.7964,
389,,Antigua and Barbuda,17.0608,-61.7964,
390,,Antigua and Barbuda,17.0608,-61.7964,
391,,Antigua and Barbuda,17.0608,-61.7964,
392,,Antigua and Barbuda,17.0608,-61.7964,
393,,Antigua and Barbuda,17.0608,-61.7964,
394,,Antigua and Barbuda,17.0608,-61.7964,
